ISBN|EAN|VENDOR_STOCK_ID|TITLE|QTY_ON_HAND|LIST_PRICE_EXCL_TAX|LIST_PRICE_INCL_TAX|COST_PRICE|DISCOUNT|ISO_CURRENCY_CODE
|5908256834477||Hot Plate|0|||||EUR
|5902934838856||Cooker induction|1897|||||EUR
|5908256831674||Grill electric with removable heater|289|||||EUR
|5902934836982||Electric Grill|773|||||EUR
|5903887807623||Electric table grill 3000W|373|||||EUR
|5903887807647||Electric table grill 3000W|0|||||EUR
|5903887809962||Raclette - electric grill|0|||||EUR
|5903887805582||Food Dehydrator|1591|||||EUR
|5905575905598||Food dehydrator|957|||||EUR
|5905575902146||Grill Utensil Set - Stainless Steel with Carrying Case|0|||||EUR
|5905575902160||Grill cutlery – set|0|||||EUR
|5905575902184||Grill Utensil Set – In an Aluminum Case|0|||||EUR
|5905575902207||Grill cutlery – set|30|||||EUR
|5908256833487||Vacuum cleaner/Bag set for AD 7011|242|||||EUR
|5902934830560||Rotable mop/Map Refill for AD 7018|2723|||||EUR
|5902934831178||Handheld Vacuum - 1,5L dust cont.|1843|||||EUR
|5902934831420||Set of 5 EPA F8 filters for vacuum cleaner AD 7036|465|||||EUR
|5905575905932||Handheld Vacuum - 1,5L dust cont.|1939|||||EUR
|5903887803588||Steam Cleaner|0|||||EUR
|5903887803847||Spare mop pad sets for AD7038.1|98|||||EUR
|5905575904898||Spare cloths 5x small cloth|469|||||EUR
|5905575904911||Spare cloths 5x large cloth|447|||||EUR
|5902934836791||Vacuum cleaner/filter for AD 7040|350|||||EUR
|5902934835282||Super silent vacuum cleaner|0|||||EUR
|5902934836159||Filter Set for Vacuum AD 7041|313|||||EUR
|5902934837088||Handheld bagless vacuum cleaner|680|||||EUR
|5902934838191||Filter HEPA H11  for AD 7044, AD 7048|1121|||||EUR
|5903887800198||Battery|267|||||EUR
|5903887809580||Bagless vacuum cleaner with brushless motor technology|2131|||||EUR
|5903887809603||Battery|145|||||EUR
|5903887809924||2-in-1 handheld bagless vacuum cleaner|1249|||||EUR
|5903887809948||HEPA 11 filter 4 piece set for AD 7049|0|||||EUR
|5905575900241||Steam Cleaner|3034|||||EUR
|5905575900265||Replacement cloths AD 7050.1|167|||||EUR
|5905575901293||Cordless Vacuum cleaner|3250|||||EUR
|5905575901316||Batery AD 7051.1|185|||||EUR
|5905575901330||Filter set AD 7051.2|0|||||EUR
|5905575902696||Rotary steam mop|2507|||||EUR
|5905575902962||Round steam mop inserts and a small fabric cover AD 7052|1084|||||EUR
|5905575905031||Bag vacuum cleaner allergy-friendly Classic AD 7054|797|||||EUR
|Nonead_7054.1||Spare filter for Ad 7054|179|||||EUR
|5905575905710||Steam mop|1209|||||EUR
|5905575905734||AD 7057 mop insert|225|||||EUR
|5905575905574||Car vacuum cleaner - USB C / 12 V|1667|||||EUR
|5905575905093||Allergy-friendly Cordless upright vacuum PRO|1477|||||EUR
|5905575905116||Spare filter for AD 7061|116|||||EUR
|5905575905918||Spare battery AD 7061|153|||||EUR
|5905575905130||2in1 Dry & Wet hard flood carry cordless Vacuum Cleaner|0|||||EUR
|5905575905154||EPA 12 filter for AD 7064|299|||||EUR
|5905575905178||Mop Pads for Vacuum Cleaner with Mopping Function – Set of 2|199|||||EUR
|5905575905635||Bagless cyclone vacuum cleaner|927|||||EUR
|5905575905659||Vacuum cleaner filter set for AD 7065|164|||||EUR
|5905575906168||TURBO brush|0|||||EUR
|5905575907011||Steam mop|1057|||||EUR
|5905575907158||Mop Pads AD 7068.1|276|||||EUR
|5905575907035||Digitally controlled vacuum cleaner with bag|1076|||||EUR
|5905575907059||AD 7069.1 Reusable fabric bag|13|||||EUR
|5905575907073||AD 7069.2 Filter Set|86|||||EUR
|5905575907097||Mini turbo brush AD7069.3|41|||||EUR
|5905575907110||Parquet brush with natural bristles AD 7069.4|39|||||EUR
|5905575907134||Large turbo brush AD 7069.5|42|||||EUR
|5905575908308||Universal steam mop 2in1|1278|||||EUR
|5905575908322||Spare mop covers AD 7072.1 2 pieces|288|||||EUR
