ISBN|EAN|VENDOR_STOCK_ID|TITLE|QTY_ON_HAND|LIST_PRICE_EXCL_TAX|LIST_PRICE_INCL_TAX|COST_PRICE|DISCOUNT|ISO_CURRENCY_CODE
|5905575906328||Dual Air Fryer Oven|0|||||EUR
|5905575907233||Air Fryer Oven with glass bowl 3L|1016|||||EUR
|5906843080146||Air Fryer Oven 12 programs 5,5 liters|885|||||EUR
|5906843080153||"Air Fryer 8.0 L | 9 Preset Programs | Convection Technology | LED Display |"|0|||||EUR
|5901436590316||Steam cooker|78|||||EUR
|5908256835696||Rice cooker - capacity 1.5L|1762|||||EUR
|5903887809528||Slow cooker 5,8L|0|||||EUR
|5905575901354||Slow cooker 5,8L|0|||||EUR
|5903887804066||Sous vide Slow Cooker|15|||||EUR
|5905575901798||Rice cooker|1021|||||EUR
|5905575902450||Multi-cooker 6 in 1 - 3,25 L|1264|||||EUR
|5905575904584||2-in-1 breakfast station|1545|||||EUR
|5908256834460||Hot Plate|5717|||||EUR
|5908256834477||Hot Plate|0|||||EUR
|5902934838856||Cooker induction|1893|||||EUR
|5908256831674||Grill electric with removable heater|278|||||EUR
|5902934836982||Electric Grill|718|||||EUR
|5903887807623||Electric table grill 3000W|382|||||EUR
|5903887807647||Electric table grill 3000W|0|||||EUR
|5903887809962||Raclette - electric grill|0|||||EUR
|5903887805582||Food Dehydrator|3128|||||EUR
|5905575905598||Food dehydrator|950|||||EUR
|5905575902146||Grill Utensil Set - Stainless Steel with Carrying Case|0|||||EUR
|5905575902160||Grill cutlery – set|0|||||EUR
|5905575902184||Grill Utensil Set – In an Aluminum Case|0|||||EUR
|5905575902207||Grill cutlery – set|50|||||EUR
|5908256833487||Vacuum cleaner/Bag set for AD 7011|239|||||EUR
|5902934830560||Rotable mop/Map Refill for AD 7018|2723|||||EUR
|5902934831178||Handheld Vacuum - 1,5L dust cont.|1795|||||EUR
|5902934831420||Set of 5 EPA F8 filters for vacuum cleaner AD 7036|465|||||EUR
|5905575905932||Handheld Vacuum - 1,5L dust cont.|1892|||||EUR
|5903887803588||Steam Cleaner|0|||||EUR
|5903887803847||Spare mop pad sets for AD7038.1|98|||||EUR
|5905575904898||Spare cloths 5x small cloth|419|||||EUR
|5905575904911||Spare cloths 5x large cloth|467|||||EUR
|5902934836791||Vacuum cleaner/filter for AD 7040|350|||||EUR
|5902934835282||Super silent vacuum cleaner|0|||||EUR
|5902934836159||Filter Set for Vacuum AD 7041|312|||||EUR
|5902934837088||Handheld bagless vacuum cleaner|652|||||EUR
|5902934838191||Filter HEPA H11  for AD 7044, AD 7048|1121|||||EUR
|5903887800198||Battery|267|||||EUR
|5903887809580||Bagless vacuum cleaner with brushless motor technology|2100|||||EUR
|5903887809603||Battery|145|||||EUR
|5903887809924||2-in-1 handheld bagless vacuum cleaner|1235|||||EUR
|5903887809948||HEPA 11 filter 4 piece set for AD 7049|0|||||EUR
|5905575900241||Steam Cleaner|3034|||||EUR
|5905575900265||Replacement cloths AD 7050.1|167|||||EUR
|5905575901293||Cordless Vacuum cleaner|3212|||||EUR
|5905575901316||Batery AD 7051.1|185|||||EUR
|5905575901330||Filter set AD 7051.2|0|||||EUR
|5905575902696||Rotary steam mop|2513|||||EUR
|5905575902962||Round steam mop inserts and a small fabric cover AD 7052|1084|||||EUR
|5905575905031||Bag vacuum cleaner allergy-friendly Classic AD 7054|805|||||EUR
|Nonead_7054.1||Spare filter for Ad 7054|179|||||EUR
|5905575905710||Steam mop|1219|||||EUR
|5905575905734||AD 7057 mop insert|225|||||EUR
|5905575905574||Car vacuum cleaner - USB C / 12 V|1621|||||EUR
|5905575905093||Allergy-friendly Cordless upright vacuum PRO|1470|||||EUR
|5905575905116||Spare filter for AD 7061|116|||||EUR
|5905575905918||Spare battery AD 7061|153|||||EUR
|5905575905130||2in1 Dry & Wet hard flood carry cordless Vacuum Cleaner|0|||||EUR
|5905575905154||EPA 12 filter for AD 7064|299|||||EUR
|5905575905178||Mop Pads for Vacuum Cleaner with Mopping Function – Set of 2|199|||||EUR
|5905575905635||Bagless cyclone vacuum cleaner|934|||||EUR
|5905575905659||Vacuum cleaner filter set for AD 7065|164|||||EUR
|5905575906168||TURBO brush|0|||||EUR
|5905575907011||Steam mop|836|||||EUR
|5905575907158||Mop Pads AD 7068.1|101|||||EUR
|5905575907035||Digitally controlled vacuum cleaner with bag|1072|||||EUR
|5905575907059||AD 7069.1 Reusable fabric bag|12|||||EUR
|5905575907073||AD 7069.2 Filter Set|85|||||EUR
|5905575907097||Mini turbo brush AD7069.3|41|||||EUR
|5905575907110||Parquet brush with natural bristles AD 7069.4|38|||||EUR
|5905575907134||Large turbo brush AD 7069.5|42|||||EUR
|5905575908308||Universal steam mop 2in1|0|||||EUR
|5905575908322||Spare mop covers AD 7072.1 2 pieces|0|||||EUR
|5901436590866||Fan 15 cm - desk|0|||||EUR
